team_name,b2bs,home_games,away_games
Denver Nuggets,13,41,41
Los Angeles Lakers,15,43,40
Golden State Warriors,17,41,41
Phoenix Suns,14,41,41
Charlotte Hornets,15,41,41
Atlanta Hawks,15,41,41
Indiana Pacers,13,41,42
Washington Wizards,13,41,41
New York Knicks,13,41,41
Boston Celtics,14,41,41
Orlando Magic,15,41,41
Houston Rockets,14,41,41
Brooklyn Nets,14,41,41
Cleveland Cavaliers,15,41,41
Miami Heat,13,41,41
Detroit Pistons,15,40,42
Toronto Raptors,14,41,41
Minnesota Timberwolves,13,41,41
Chicago Bulls,14,41,41
Oklahoma City Thunder,14,41,41
Memphis Grizzlies,14,41,41
New Orleans Pelicans,13,40,42
Utah Jazz,13,41,41
Sacramento Kings,15,41,41
San Antonio Spurs,13,41,41
Dallas Mavericks,14,41,41
LA Clippers,15,41,41
Portland Trail Blazers,14,41,41
Milwaukee Bucks,14,42,40
Philadelphia 76ers,14,41,41
