full_name,arena
"Atlanta Hawks","State Farm Arena"
"Boston Celtics","TD Garden"
"Brooklyn Nets","Barclays Center"
"Charlotte Hornets","Spectrum Center"
"Chicago Bulls","United Center"
"Cleveland Cavaliers","Rocket Mortgage FieldHouse"
"Dallas Mavericks","American Airlines Center"
"Denver Nuggets","Ball Arena"
"Detroit Pistons","Little Caesars Arena"
"Golden State Warriors","Chase Center"
"Houston Rockets","Toyota Center"
"Indiana Pacers","Gainbridge Fieldhouse"
"LA Clippers","Crypto.com Arena"
"Los Angeles Lakers","Crypto.com Arena"
"Los Angeles Lakers","T-Mobile Arena"
"Memphis Grizzlies",FedExForum
"Miami Heat","Kaseya Center"
"Milwaukee Bucks","Fiserv Forum"
"Minnesota Timberwolves","Target Center"
"New Orleans Pelicans","Smoothie King Center"
"New York Knicks","Madison Square Garden"
"Oklahoma City Thunder","Paycom Center"
"Orlando Magic","Kia Center"
"Philadelphia 76ers","Wells Fargo Center"
"Phoenix Suns","Footprint Center"
"Portland Trail Blazers","Moda Center"
"Sacramento Kings","Golden 1 Center"
"San Antonio Spurs","Frost Bank Center"
"Toronto Raptors","Scotiabank Arena"
"Utah Jazz","Delta Center"
"Washington Wizards","Capital One Arena"
